text,closed,all,min,max,date,dow,tweet_id,timestamp
"MONDAY JUNE 10, 2013 jurors with reporting numbers 1 through and including 350 are to report for jury service.",0,0.0,1.0,350.0,2013-06-10T00:00:00Z,Monday,343857568923406336,2013-06-09 22:30:07 +0000
"FRIDAY JUNE 7, 2013 jurors with reporting numbers 8000 through and including 8400 are to report for jury service.",0,0.0,8000.0,8400.0,2013-06-07T00:00:00Z,Friday,342770409944543232,2013-06-06 22:30:08 +0000
"THURSDAY JUNE 6, 2013 jurors with reporting numbers 6000 through and including 6400 are to report for jury service.",0,0.0,6000.0,6400.0,2013-06-06T00:00:00Z,Thursday,342408029939060736,2013-06-05 22:30:10 +0000
"WEDNESDAY JUNE 5, 2013 jurors with reporting numbers 4000 through and including 4800 are to report for jury service.",0,0.0,4000.0,4800.0,2013-06-05T00:00:00Z,Wednesday,342045648469770240,2013-06-04 22:30:12 +0000
"TUESDAY JUNE 4, 2013 jurors with reporting numbers 2000 through and including 3200 are to report for jury service.",0,0.0,2000.0,3200.0,2013-06-04T00:00:00Z,Tuesday,341683251267633154,2013-06-03 22:30:09 +0000
"MONDAY JUNE 3, 2013 jurors with reporting numbers 1 through and including 500 are to report for jury service.",0,0.0,1.0,500.0,2013-06-03T00:00:00Z,Monday,341320868019978242,2013-06-02 22:30:11 +0000
"FRIDAY MAY 31, 2013 jurors with reporting numbers 8000 through and including 9000 are to report for jury service.",0,0.0,8000.0,9000.0,2013-05-31T00:00:00Z,Friday,340233688342208512,2013-05-30 22:30:07 +0000
"THURSDAY MAY 30, 2013 jurors with reporting numbers 6000 through and including 7000 are to report for jury service.",0,0.0,6000.0,7000.0,2013-05-30T00:00:00Z,Thursday,339871305593667585,2013-05-29 22:30:08 +0000
"WEDNESDAY MAY 29, 2013 jurors with reporting numbers 4000 through and including 4700 are to report for jury service.",0,0.0,4000.0,4700.0,2013-05-29T00:00:00Z,Wednesday,339508934043922432,2013-05-28 22:30:12 +0000
"TUESDAY MAY 28, 2013 jurors with reporting numbers 2000 through and including 2800 are to report for jury service.",0,0.0,2000.0,2800.0,2013-05-28T00:00:00Z,Tuesday,339146543070318592,2013-05-27 22:30:11 +0000
"TUESDAY MAY 28, 2013 jurors with reporting numbers 2000 through and including 2800 are to report for jury service.",0,0.0,2000.0,2800.0,2013-05-28T00:00:00Z,Tuesday,338784151371124736,2013-05-26 22:30:10 +0000
"FRIDAY MAY 24, 2013 jurors with reporting numbers 8000 through and including 8500 are to report for jury service.",0,0.0,8000.0,8500.0,2013-05-24T00:00:00Z,Friday,337696972448346112,2013-05-23 22:30:06 +0000
"THURSDAY MAY 23, 2013 jurors with reporting numbers 6000 through and including 6500 are to report for jury service.",0,0.0,6000.0,6500.0,2013-05-23T00:00:00Z,Thursday,337334587921416193,2013-05-22 22:30:07 +0000
"WEDNESDAY MAY 22, 2013 jurors with reporting numbers 4000 through and including 4600 are to report for jury service.",0,0.0,4000.0,4600.0,2013-05-22T00:00:00Z,Wednesday,336972212584202240,2013-05-21 22:30:10 +0000
"TUESDAY MAY 21, 2013 jurors with reporting numbers 2000 through and including 2700 are to report for jury service.",0,0.0,2000.0,2700.0,2013-05-21T00:00:00Z,Tuesday,336609807471632385,2013-05-20 22:30:06 +0000
"MONDAY MAY 20, 2013 jurors with reporting numbers 1 through and including 750 are to report for jury service.",0,0.0,1.0,750.0,2013-05-20T00:00:00Z,Monday,336247433279451136,2013-05-19 22:30:09 +0000
"FRIDAY MAY 17, 2013 jurors with reporting numbers 8000 through and including 8700 are to report for jury service.",0,0.0,8000.0,8700.0,2013-05-17T00:00:00Z,Friday,335160257313648641,2013-05-16 22:30:06 +0000
"THURSDAY MAY 16, 2013 jurors with reporting numbers 6000 through and including 6400 are to report for jury service.",0,0.0,6000.0,6400.0,2013-05-16T00:00:00Z,Thursday,334797876158939136,2013-05-15 22:30:08 +0000
"WEDNESDAY MAY 15, 2013 jurors with reporting numbers 4000 through and including 4600 are to report for jury service.",0,0.0,4000.0,4600.0,2013-05-15T00:00:00Z,Wednesday,334435496216383489,2013-05-14 22:30:10 +0000
"TUESDAY MAY 14, 2013 jurors with reporting numbers 2000 through and including 2900 are to report for jury service.",0,0.0,2000.0,2900.0,2013-05-14T00:00:00Z,Tuesday,334073111437774848,2013-05-13 22:30:11 +0000
"MONDAY MAY 13, 2013 jurors with reporting numbers 1 through and including 1200 are to report for jury service.",0,0.0,1.0,1200.0,2013-05-13T00:00:00Z,Monday,333710724813709312,2013-05-12 22:30:11 +0000
"FRIDAY, MAY 10, 2013 THERE WILL BE NO JURORS NEEDED.",0,0.0,0,0,2013-05-10T00:00:00Z,Friday,332623559933431809,2013-05-09 22:30:11 +0000
"THURSDAY, MAY 9, 2013 THERE WILL BE NO JURORS NEEDED.",0,0.0,0,0,2013-05-09T00:00:00Z,Thursday,332261161988927490,2013-05-08 22:30:08 +0000
"WEDNESDAY, MAY 8, 2013 jurors with summonses numbered 4000 through and including 4400 are to report for jury service.",0,0.0,4000,4400,2013-05-08T00:00:00Z,Wednesday,331898763872436224,2013-05-07 22:30:06 +0000
"TUESDAY, MAY 7, 2013 jurors with summonses numbered 2000 through and including 2500 are to report for jury service.",0,0.0,2000,2500,2013-05-07T00:00:00Z,Tuesday,331536386429702144,2013-05-06 22:30:08 +0000
"MONDAY, MAY 6, 2013 jurors with summonses numbered 1 through and including 700 are to report for jury service.",0,0.0,1,700,2013-05-06T00:00:00Z,Monday,331174018508021760,2013-05-05 22:30:13 +0000
"FRIDAY, MAY 3, 2013 jurors with summonses numbered 8000 through and including 8500 are to report for jury service.",0,0.0,8000,8500,2013-05-03T00:00:00Z,Friday,330086844773564417,2013-05-02 22:30:11 +0000
"THURSDAY, MAY 2, 2013 jurors with summonses numbered 6000 through and including 6600 are to report for jury service.",0,0.0,6000,6600,2013-05-02T00:00:00Z,Thursday,329724454013902848,2013-05-01 22:30:10 +0000
"WEDNESDAY, MAY 1, 2013 jurors with summonses numbered 4000 through and including 4400 are to report for jury service.",0,0.0,4000,4400,2013-05-01T00:00:00Z,Wednesday,329362049899589633,2013-04-30 22:30:06 +0000
"TUESDAY, APRIL 30, 2013 jurors with summonses numbered 2000 through and including 2500 are to report for jury service.",0,0.0,2000,2500,2013-04-30T00:00:00Z,Tuesday,328999670850387968,2013-04-29 22:30:08 +0000
"MONDAY, APRIL 29, 2013 jurors with summonses numbered 1 through and including 1000 are to report for jury service.",0,0.0,1,1000,2013-04-29T00:00:00Z,Monday,328637292375834626,2013-04-28 22:30:10 +0000
"FRIDAY, APRIL 26, 2013 jurors with summonses numbered 8000 through and including 8400 are to report for jury service.",0,0.0,8000,8400,2013-04-26T00:00:00Z,Friday,327550125427814402,2013-04-25 22:30:10 +0000
"THURSDAY, APRIL 25, 2013 jurors with summonses numbered 6000 through and including 6500 are to report for jury service.",0,0.0,6000,6500,2013-04-25T00:00:00Z,Thursday,327187721992937473,2013-04-24 22:30:06 +0000
"WEDNESDAY, APRIL 24, 2013 jurors with summonses numbered 4000 through and including 4700 are to report for jury service.",0,0.0,4000,4700,2013-04-24T00:00:00Z,Wednesday,326825338011254784,2013-04-23 22:30:07 +0000
"TUESDAY, APRIL 23, 2013 jurors with summonses numbered 2000 through and including 2600 are to report for jury service.",0,0.0,2000,2600,2013-04-23T00:00:00Z,Tuesday,326462973583441920,2013-04-22 22:30:12 +0000
"MONDAY, APRIL 22, 2013 jurors with summonses numbered 1 through and including 750 are to report for jury service.",0,0.0,1,750,2013-04-22T00:00:00Z,Monday,326100581829722112,2013-04-21 22:30:12 +0000
"FRIDAY, APRIL 19, 2013 jurors with summonses numbered 8000 through and including 8500 are to report for jury service.",0,0.0,8000,8500,2013-04-19T00:00:00Z,Friday,325013408384679936,2013-04-18 22:30:09 +0000
"THURSDAY, APRIL 18, 2013 jurors with summonses numbered 6000 through and including 6500 are to report for jury service.",0,0.0,6000,6500,2013-04-18T00:00:00Z,Thursday,324651013200039936,2013-04-17 22:30:07 +0000
"WEDNESDAY, APRIL 17, 2013 jurors with summonses numbered 4000 through and including 4500 are to report for jury service.",0,0.0,4000,4500,2013-04-17T00:00:00Z,Wednesday,324288668191842304,2013-04-16 22:30:18 +0000
"TUESDAY, APRIL 16, 2013 jurors with summonses numbered 2000 through and including 2500 are to report for jury service.",0,0.0,2000,2500,2013-04-16T00:00:00Z,Tuesday,323926260931764225,2013-04-15 22:30:13 +0000
"MONDAY, APRIL 15, 2013 jurors with summonses numbered 1 through and including 500 are to report for jury service.",0,0.0,1,500,2013-04-15T00:00:00Z,Monday,323563831991349248,2013-04-14 22:30:03 +0000
"FRIDAY, APRIL 12, 2013 jurors with summonses numbered 8000 through and including 8700 are to report for jury service.",0,0.0,8000,8700,2013-04-12T00:00:00Z,Friday,322476667698294784,2013-04-11 22:30:03 +0000
"THURSDAY, APRIL 11, 2013 jurors with summonses numbered 6000 through and including 6800 are to report for jury service.",0,0.0,6000,6800,2013-04-11T00:00:00Z,Thursday,322114278586994689,2013-04-10 22:30:03 +0000
